ndcg@5: 0.1240 | ndcg@10: 0.1587 | ndcg@20: 0.1937 | ndcg@50: 0.2324 | hr@5: 0.1957 | hr@10: 0.3039 | hr@20: 0.4428 | hr@50: 0.6371 | auc: 0.9103 | pos: 89.6268
ndcg@5: 0.1122 | ndcg@10: 0.1469 | ndcg@20: 0.1820 | ndcg@50: 0.2256 | hr@5: 0.1756 | hr@10: 0.2836 | hr@20: 0.4232 | hr@50: 0.6424 | auc: 0.9217 | pos: 78.2687
ndcg@5: 0.1149 | ndcg@10: 0.1493 | ndcg@20: 0.1856 | ndcg@50: 0.2279 | hr@5: 0.1797 | hr@10: 0.2870 | hr@20: 0.4311 | hr@50: 0.6445 | auc: 0.9245 | pos: 75.3980
ndcg@5: 0.1133 | ndcg@10: 0.1485 | ndcg@20: 0.1846 | ndcg@50: 0.2277 | hr@5: 0.1777 | hr@10: 0.2873 | hr@20: 0.4305 | hr@50: 0.6476 | auc: 0.9259 | pos: 73.9812
ndcg@5: 0.1160 | ndcg@10: 0.1505 | ndcg@20: 0.1858 | ndcg@50: 0.2285 | hr@5: 0.1835 | hr@10: 0.2910 | hr@20: 0.4315 | hr@50: 0.6461 | auc: 0.9267 | pos: 73.2663
ndcg@5: 0.1196 | ndcg@10: 0.1538 | ndcg@20: 0.1889 | ndcg@50: 0.2317 | hr@5: 0.1857 | hr@10: 0.2921 | hr@20: 0.4314 | hr@50: 0.6468 | auc: 0.9278 | pos: 72.1136
ndcg@5: 0.1194 | ndcg@10: 0.1534 | ndcg@20: 0.1879 | ndcg@50: 0.2314 | hr@5: 0.1893 | hr@10: 0.2956 | hr@20: 0.4324 | hr@50: 0.6509 | auc: 0.9285 | pos: 71.3905
ndcg@5: 0.1187 | ndcg@10: 0.1537 | ndcg@20: 0.1888 | ndcg@50: 0.2321 | hr@5: 0.1853 | hr@10: 0.2940 | hr@20: 0.4339 | hr@50: 0.6514 | auc: 0.9290 | pos: 70.9481
ndcg@5: 0.1180 | ndcg@10: 0.1522 | ndcg@20: 0.1874 | ndcg@50: 0.2309 | hr@5: 0.1844 | hr@10: 0.2906 | hr@20: 0.4305 | hr@50: 0.6492 | auc: 0.9291 | pos: 70.8057
ndcg@5: 0.1167 | ndcg@10: 0.1507 | ndcg@20: 0.1860 | ndcg@50: 0.2298 | hr@5: 0.1816 | hr@10: 0.2877 | hr@20: 0.4278 | hr@50: 0.6477 | auc: 0.9291 | pos: 70.8228
ndcg@5: 0.1188 | ndcg@10: 0.1528 | ndcg@20: 0.1882 | ndcg@50: 0.2315 | hr@5: 0.1833 | hr@10: 0.2893 | hr@20: 0.4302 | hr@50: 0.6475 | auc: 0.9293 | pos: 70.6199
ndcg@5: 0.1163 | ndcg@10: 0.1503 | ndcg@20: 0.1861 | ndcg@50: 0.2299 | hr@5: 0.1816 | hr@10: 0.2872 | hr@20: 0.4291 | hr@50: 0.6497 | auc: 0.9294 | pos: 70.5632
ndcg@5: 0.1181 | ndcg@10: 0.1521 | ndcg@20: 0.1877 | ndcg@50: 0.2314 | hr@5: 0.1841 | hr@10: 0.2902 | hr@20: 0.4314 | hr@50: 0.6511 | auc: 0.9296 | pos: 70.2855
ndcg@5: 0.1196 | ndcg@10: 0.1540 | ndcg@20: 0.1893 | ndcg@50: 0.2329 | hr@5: 0.1852 | hr@10: 0.2924 | hr@20: 0.4325 | hr@50: 0.6519 | auc: 0.9299 | pos: 70.0027
ndcg@5: 0.1205 | ndcg@10: 0.1544 | ndcg@20: 0.1895 | ndcg@50: 0.2335 | hr@5: 0.1866 | hr@10: 0.2921 | hr@20: 0.4318 | hr@50: 0.6525 | auc: 0.9299 | pos: 70.0116
