ndcg@5: 0.1240 | ndcg@10: 0.1587 | ndcg@20: 0.1937 | ndcg@50: 0.2324 | hr@5: 0.1957 | hr@10: 0.3039 | hr@20: 0.4428 | hr@50: 0.6371 | auc: 0.9103 | pos: 89.6268
ndcg@5: 0.1105 | ndcg@10: 0.1437 | ndcg@20: 0.1796 | ndcg@50: 0.2223 | hr@5: 0.1749 | hr@10: 0.2785 | hr@20: 0.4213 | hr@50: 0.6356 | auc: 0.9205 | pos: 79.4243
ndcg@5: 0.1160 | ndcg@10: 0.1502 | ndcg@20: 0.1858 | ndcg@50: 0.2288 | hr@5: 0.1798 | hr@10: 0.2867 | hr@20: 0.4286 | hr@50: 0.6446 | auc: 0.9251 | pos: 74.8420
ndcg@5: 0.1167 | ndcg@10: 0.1507 | ndcg@20: 0.1852 | ndcg@50: 0.2290 | hr@5: 0.1821 | hr@10: 0.2878 | hr@20: 0.4251 | hr@50: 0.6448 | auc: 0.9259 | pos: 74.0484
ndcg@5: 0.1159 | ndcg@10: 0.1508 | ndcg@20: 0.1855 | ndcg@50: 0.2287 | hr@5: 0.1821 | hr@10: 0.2907 | hr@20: 0.4286 | hr@50: 0.6458 | auc: 0.9265 | pos: 73.3780
ndcg@5: 0.1153 | ndcg@10: 0.1493 | ndcg@20: 0.1843 | ndcg@50: 0.2280 | hr@5: 0.1814 | hr@10: 0.2874 | hr@20: 0.4259 | hr@50: 0.6461 | auc: 0.9271 | pos: 72.7834
ndcg@5: 0.1125 | ndcg@10: 0.1472 | ndcg@20: 0.1830 | ndcg@50: 0.2269 | hr@5: 0.1760 | hr@10: 0.2837 | hr@20: 0.4262 | hr@50: 0.6471 | auc: 0.9271 | pos: 72.8401
ndcg@5: 0.1162 | ndcg@10: 0.1505 | ndcg@20: 0.1869 | ndcg@50: 0.2297 | hr@5: 0.1802 | hr@10: 0.2868 | hr@20: 0.4313 | hr@50: 0.6472 | auc: 0.9274 | pos: 72.5543
ndcg@5: 0.1165 | ndcg@10: 0.1514 | ndcg@20: 0.1866 | ndcg@50: 0.2297 | hr@5: 0.1811 | hr@10: 0.2898 | hr@20: 0.4298 | hr@50: 0.6467 | auc: 0.9275 | pos: 72.4290
ndcg@5: 0.1164 | ndcg@10: 0.1509 | ndcg@20: 0.1864 | ndcg@50: 0.2292 | hr@5: 0.1813 | hr@10: 0.2891 | hr@20: 0.4302 | hr@50: 0.6456 | auc: 0.9277 | pos: 72.1833
ndcg@5: 0.1136 | ndcg@10: 0.1479 | ndcg@20: 0.1839 | ndcg@50: 0.2279 | hr@5: 0.1769 | hr@10: 0.2838 | hr@20: 0.4269 | hr@50: 0.6488 | auc: 0.9278 | pos: 72.1570
